customerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0637-UBJRP,Male,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Monthly,No,Manual,84.05,1095.3
0940-OUQEC,Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Monthly,Yes,Bank transfer (automatic),80.7,788.8
2378-VTKDH,Male,1,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Manual,104.35,6578.55
0927-CNGRH,Male,0,No,Yes,1,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,19.55,19.55
8608-OZTLB,Male,0,Yes,Yes,38,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Manual,74.05,2802.3
2335-GSODA,Male,0,No,Yes,23,No,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Manual,40.1,857.75
1952-DVVSW,Female,0,Yes,No,10,Yes,No,No,No,No,No,No,No,No,One year,No,Manual,20.1,184.4
0702-PGIBZ,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Monthly,Yes,Manual,101.7,364.55
6656-GULJQ,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),83.55,6093.3
9853-JFZDU,Female,0,Yes,No,35,Yes,No,DSL,No,Yes,No,Yes,No,No,Monthly,No,Manual,56.85,1861.1
1963-VAUKV,Female,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Monthly,No,Manual,20.4,20.4
3777-XROBG,Female,0,Yes,Yes,58,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.55,1079.65
6994-FGRHH,Male,0,Yes,Yes,70,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Manual,106.15,7475.1
4000-VGMQP,Male,0,Yes,Yes,38,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),78.95,2862.55
3999-WRNGR,Female,0,Yes,Yes,60,No,No,DSL,No,Yes,No,No,Yes,Yes,Monthly,Yes,Manual,49.75,3069.45
3466-RITXD,Male,0,No,No,26,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Monthly,Yes,Credit card (automatic),92.4,2349.8
2680-XKKNJ,Female,0,No,No,8,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),58.2,469.25
3058-HJCUY,Male,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Manual,102.6,4213.35
2974-GGUXS,Female,1,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Monthly,Yes,Credit card (automatic),91.95,3301.05
